x_position_um,branch_crossings,mean_radius_um,summed_lumen_area_um2,median_local_tortuosity
5830.515362530499,16,93.20904212241607,420286.88188677793,1.028545689941844
5844.7253865193325,17,94.33611831389376,469173.231304556,1.0274064174478303
5858.935410508165,18,92.24622071898902,491040.8790546161,1.024077665583205
5873.145434496997,18,104.26061345567483,593179.5248582682,1.0205997735346508
5887.35545848583,17,94.59645977807509,449352.7214890297,1.0204506333507222
5901.5654824746625,16,92.9620115176742,395590.896356748,1.0223081407888746
5915.775506463495,17,94.9041782364431,461641.0995514678,1.0208713961889324
5929.985530452327,19,94.18865401359508,498471.388869019,1.0276451417687087
5944.19555444116,19,93.05499115675431,473032.44504921086,1.0250652733398689
5958.405578429993,19,91.70343573715938,462313.4405359668,1.0250652733398689
5972.615602418825,18,90.875151966573,450632.83322154585,1.0247843420131888
5986.825626407658,19,89.85660593778996,462986.33068558644,1.0315466453744988
6001.03565039649,20,82.01752841363273,462274.5436975522,1.0346583284666735
6015.245674385323,19,87.97528771899829,467521.5621985113,1.029962060452176
6029.455698374155,16,95.12205133979064,413913.27523826284,1.0279286235835752
6043.665722362988,14,98.08530046190981,388451.5784779522,1.0366585166802658
6057.87574635182,15,92.17206006961138,396207.2269071551,1.0258951867149746
6072.085770340653,15,95.93826761993382,397606.011287478,1.0258951867149746
6086.295794329486,14,93.90552155105556,379058.70229294716,1.0204792229336976
6100.505818318318,14,88.89183460588376,367787.68728978594,1.0204792229336976
6114.7158423071505,18,93.64840391900383,571891.3097906618,1.0064869578676288
6128.925866295984,17,97.98548924705666,555509.1766307704,1.0129739157352575
6143.135890284816,20,85.48644582849674,609705.95311245,1.0092516881624376
6157.345914273648,21,93.530155663538,819504.1516056098,1.0
6171.5559382624815,21,95.84600349356128,1148432.7004736213,1.0
6185.765962251314,23,89.45189284023232,793030.3071717375,1.0
6199.975986240146,22,87.61054483233757,723555.6783842162,1.0
6214.186010228979,22,84.45564127095756,694114.0987609673,1.0
6228.396034217812,27,75.5433678871973,733817.6572990753,1.0
6242.606058206644,23,82.36482090424583,724079.7736114549,1.0165048320641752
6256.816082195477,28,82.66594806187831,860658.4815694892,1.0250783314958696
6271.026106184309,26,88.49371296583895,923981.5404835456,1.024882016798133
6285.236130173142,28,85.76697935416146,1026749.0156679675,1.0
6299.446154161975,23,108.0411006231677,1027120.0984524975,1.0083708312544046
6313.656178150807,24,103.13375606958621,922942.9540690379,1.0157363801649433
6327.866202139639,23,113.35492240907529,1046182.2887911277,1.0314887411409985
6342.076226128473,19,130.8003696852476,1054569.28890022,1.0314887411409985
6356.286250117305,20,120.65558810673805,948049.6630839551,1.0336778908795963
6370.496274106137,21,121.09005477888921,1069022.84855096,1.037050631401338
6384.70629809497,22,113.32802768369827,1017670.8244522053,1.0273963978834506
6398.916322083803,22,111.19357096394336,1005072.7779137746,1.0232711565358759
6413.126346072635,19,111.11844742777905,927951.0961107069,1.022896582292983
6427.336370061468,18,108.12569675457111,878850.5197172837,1.026368658349445
6441.5463940503005,22,151.0279774956729,1915289.6627670382,1.0255309576494624
6455.756418039133,18,136.0858867858572,1168907.936182178,1.0141805515526618
6469.966442027966,15,144.4107861004193,926784.4008517903,1.0190931917940134
6484.176466016798,14,128.97571186648366,756351.7339241337,1.0194675876054942
6498.386490005631,16,131.6824634795416,876330.7118733001,1.028702524538124
6512.596513994464,17,127.73270018663702,846303.0018925399,1.0295922682835361
6526.806537983296,15,131.76569329230736,816929.1525118604,1.0166023596407547
6541.016561972128,17,130.288633739164,883801.3178949594,1.0092679113113103
6555.2265859609615,18,131.9578653156228,960905.5921670764,1.0063487845280177
6569.436609949794,16,131.27017763354698,878893.649909817,1.0089422432771062
6583.646633938626,16,129.822718628896,847772.7814560138,1.0089422432771062
6597.856657927459,15,128.0227778030204,754898.3663632498,1.0092424412646561
6612.066681916292,15,122.0662159948362,722396.8387072873,1.0086165752429022
6626.276705905124,14,124.69287367836104,667021.6389013854,1.0089295082537793
6640.486729893957,15,119.61801717704391,684865.129446027,1.0086165752429022
6654.696753882789,19,112.39706769635644,784630.6310650905,1.0
6668.906777871622,19,112.9996783419656,817263.261357733,1.0
6683.116801860455,17,117.07284932071389,821689.487404114,1.0
6697.326825849287,17,117.96326368721839,797099.3962336902,1.0130492275903027
6711.536849838119,18,116.9428086511935,831886.2628358233,1.0025022905496384
6725.746873826953,19,117.54332715960311,863629.2878868615,1.0
6739.956897815784,21,118.75885537141878,964260.1597617884,1.0
